Kab_Kota,Kode_Kab,provinsi,X,Y,tahun,ndvi
NAGAN RAYA,1115,ACEH,96.5067839,4.1554061,2021,0.783912319
BENER MERIAH,1117,ACEH,97.0072962,4.7672346,2021,0.714314953
PIDIE JAYA,1118,ACEH,96.216754,5.1245421,2021,0.710945621
KOTA BANDA ACEH,1171,ACEH,95.3268155,5.5592964,2021,0.399822156
KOTA SABANG,1172,ACEH,95.305436,5.8384182,2021,0.71478344
KOTA LHOKSEUMAWE,1173,ACEH,97.1103124,5.1644939,2021,0.611001596
KOTA SUBULUSSALAM,1175,ACEH,97.9374019,2.7358527,2021,0.806072725
KOTA LANGSA,1174,ACEH,97.9822621,4.4831192,2021,0.546722543
SIMEULUE,1109,ACEH,96.085675,2.6133016,2022,0.685399387
ACEH SINGKIL,1110,ACEH,97.8442473,2.3490712,2022,0.716432174
ACEH SELATAN,1101,ACEH,97.4353476,3.1628709,2022,0.7290668
ACEH TENGGARA,1102,ACEH,97.6955398,3.3695979,2022,0.669427954
ACEH TIMUR,1103,ACEH,97.6288919,4.6291332,2022,0.675011793
ACEH TENGAH,1104,ACEH,96.8589945,4.5300689,2022,0.69908335
ACEH BARAT,1105,ACEH,96.185458,4.456644,2022,0.762645291
ACEH BESAR,1106,ACEH,95.5149894,5.3805441,2022,0.711332563
PIDIE,1107,ACEH,96.0072061,5.0681582,2022,0.719609312
BIREUEN,1111,ACEH,96.6092168,5.0934648,2022,0.685640854
ACEH UTARA,1108,ACEH,97.181888,5.0149122,2022,0.643956281
ACEH TAMIANG,1116,ACEH,97.9770203,4.2278754,2022,0.658903056
ACEH JAYA,1114,ACEH,95.6787094,4.8321827,2022,0.788025324
ACEH BARAT DAYA,1112,ACEH,96.8783204,3.8248992,2022,0.7306595
GAYO LUES,1113,ACEH,97.3575332,3.9819276,2022,0.690109409
NAGAN RAYA,1115,ACEH,96.5067839,4.1554061,2022,0.75468513
BENER MERIAH,1117,ACEH,97.0072962,4.7672346,2022,0.688869635
PIDIE JAYA,1118,ACEH,96.216754,5.1245421,2022,0.677666129
KOTA BANDA ACEH,1171,ACEH,95.3268155,5.5592964,2022,0.392758665
KOTA SABANG,1172,ACEH,95.305436,5.8384182,2022,0.688796169
KOTA LHOKSEUMAWE,1173,ACEH,97.1103124,5.1644939,2022,0.548805953
KOTA SUBULUSSALAM,1175,ACEH,97.9374019,2.7358527,2022,0.745529981
KOTA LANGSA,1174,ACEH,97.9822621,4.4831192,2022,0.565754023
SIMEULUE,1109,ACEH,96.085675,2.6133016,2023,0.677429711
ACEH SINGKIL,1110,ACEH,97.8442473,2.3490712,2023,0.701119849
ACEH SELATAN,1101,ACEH,97.4353476,3.1628709,2023,0.757788739
ACEH TENGGARA,1102,ACEH,97.6955398,3.3695979,2023,0.724956125
ACEH TIMUR,1103,ACEH,97.6288919,4.6291332,2023,0.669942188
ACEH TENGAH,1104,ACEH,96.8589945,4.5300689,2023,0.706916286
ACEH BARAT,1105,ACEH,96.185458,4.456644,2023,0.766911887
ACEH BESAR,1106,ACEH,95.5149894,5.3805441,2023,0.710510529
PIDIE,1107,ACEH,96.0072061,5.0681582,2023,0.727434401
BIREUEN,1111,ACEH,96.6092168,5.0934648,2023,0.71526096
ACEH UTARA,1108,ACEH,97.181888,5.0149122,2023,0.67745805
ACEH TAMIANG,1116,ACEH,97.9770203,4.2278754,2023,0.665120099
ACEH JAYA,1114,ACEH,95.6787094,4.8321827,2023,0.8012687
ACEH BARAT DAYA,1112,ACEH,96.8783204,3.8248992,2023,0.7574806
GAYO LUES,1113,ACEH,97.3575332,3.9819276,2023,0.726117142
NAGAN RAYA,1115,ACEH,96.5067839,4.1554061,2023,0.772202155
BENER MERIAH,1117,ACEH,97.0072962,4.7672346,2023,0.691807187
PIDIE JAYA,1118,ACEH,96.216754,5.1245421,2023,0.702161541
KOTA BANDA ACEH,1171,ACEH,95.3268155,5.5592964,2023,0.398097616
KOTA SABANG,1172,ACEH,95.305436,5.8384182,2023,0.694970047
KOTA LHOKSEUMAWE,1173,ACEH,97.1103124,5.1644939,2023,0.58526512
KOTA SUBULUSSALAM,1175,ACEH,97.9374019,2.7358527,2023,0.764501523
KOTA LANGSA,1174,ACEH,97.9822621,4.4831192,2023,0.58068182
SIMEULUE,1109,ACEH,96.085675,2.6133016,2024,0.728296194
ACEH SINGKIL,1110,ACEH,97.8442473,2.3490712,2024,0.730275005
ACEH SELATAN,1101,ACEH,97.4353476,3.1628709,2024,0.794573679
ACEH TENGGARA,1102,ACEH,97.6955398,3.3695979,2024,0.76196868
ACEH TIMUR,1103,ACEH,97.6288919,4.6291332,2024,0.722170916
ACEH TENGAH,1104,ACEH,96.8589945,4.5300689,2024,0.748498322
ACEH BARAT,1105,ACEH,96.185458,4.456644,2024,0.778551827
ACEH BESAR,1106,ACEH,95.5149894,5.3805441,2024,0.739492928
PIDIE,1107,ACEH,96.0072061,5.0681582,2024,0.757522983
BIREUEN,1111,ACEH,96.6092168,5.0934648,2024,0.731227956
ACEH UTARA,1108,ACEH,97.181888,5.0149122,2024,0.691626013
